Name,Role,Tags,Areas of Specialism
Marco E. Ghilardi,Simulation & Modelling Expert,Simulation | CFD / Numerical | Motorsport | Engineering | Data Analysis | Virtual Prototyping,Data and Intelligence | Product Development | Application Development | Workflows & Automation
Jon Cooke,Senior Developer · Full Stack,Full Stack | Cloud Native | DevOps | AWS / Azure | Secure Systems | API Development,Application Development | Product Development
Jo Portus,Technical Artist,Technical Art | Real-time | MR / XR | Creative Tech | Interactive Installations | Pipeline Design,Creative Services | Realtime & Games | Virtual Production | Design | Product Development | Technical Art | Unreal Engine | Immersive Experiences
Ryan Parker,"Unreal Engine Technical Artist · CTO, Krygon Studios",Unreal Engine | Virtual Production | Motion Capture | Real-time | Character Pipelines | Previz,Virtual Production | Realtime & Games | Film & VFX | Creative Services | Product Development | Animation | Technical Art | Unreal Engine | Immersive Experiences
Kriss Dunk,AI & Computer Vision Researcher · Artist,Computer Vision | Creative Coding | New Media Art | AI Research | TouchDesigner | Generative Art,AI | Creative Services | Data and Intelligence | Design | Application Development | ComfyUI
Nick Tipping,Guided Gamified Team Building,Games | Team Building | Leadership | C-Suite Facilitation | Engineering Management | Workshops,Realtime & Games | Training
Roger McKinley,Creative Technology & Content Manager,Virtual Production | Immersive Tech | R&D | Live Performance | Content Creation | Academic Research,Virtual Production | Creative Services | Film & VFX | Training | Realtime & Games | Unreal Engine | Immersive Experiences
Bradley Harris,Metahuman Specialist,Metahumans | 3D Modelling | AAA Games | Unreal Engine | Texturing & Rigging | Real-time Rendering,Realtime & Games | Virtual Production | Film & VFX | Animation | Design | Creative Services | Technical Art | Unreal Engine
Daniel Maktabi,Technical Artist & Creative Technologist,Technical Art | Real-time | AR / VR | Digital Sculpting | Digital Twins | Immersive Pipelines,Creative Services | Realtime & Games | Virtual Production | Design | Training | Technical Art | Unreal Engine | Immersive Experiences
Haydn Secker,Animation Producer,Animation | Stop-Frame | Directing | Screenwriting | Broadcast | Character Development,Animation | Film & VFX | Creative Services
Garth Williams,MoCap Super Hero & Creative Director,Motion Capture | Immersive Installations | Creative Direction | Theatre | XR Training | Interactive Media,Virtual Production | Creative Services | Film & VFX | Training | Animation | Realtime & Games | Immersive Experiences
David Afolabi,Cyber Compliance Analyst,Cybersecurity | ISO 27001 | Governance | Digital Forensics | Security Training | Compliance,Application Development | Training | Product Development
Christian G H Frost,"Immersive Technical Artist · ""Master of Puppets""",Unreal Engine | Unity | Procedural Animation | 3D Asset Creation | VR Education | Real-time Pipelines,Realtime & Games | Virtual Production | Creative Services | Product Development | Application Development | Animation | Training | Technical Art | Unreal Engine | Immersive Experiences
Lewis Hackett,Blockchain Advisor & AR/VR Developer,AR / VR | Blockchain | Motion Graphics | Film Direction | Interactive Media | Brand Animation,Realtime & Games | Creative Services | Workflows & Automation | Application Development | Film & VFX | Animation | Design | Immersive Experiences
Dr Umran Ali,Creative Media,Games Design | Virtual Environments | Generative Media | Animation Research | Serious Games | Digital Landscapes,Realtime & Games | Creative Services | AI | Training | Design | Animation
James Spiers,Partnerships & Business Development,Partnerships | Business Development | Ecosystems | Grant Sourcing | Stakeholder Engagement | Innovation,Training
Dr Natasha Stott,Researcher & Artistic Producer,Performance | XR Environments | Well-being | Embodied Practice | Immersive Theatre | Research,Creative Services | Realtime & Games | Virtual Production | Training | Immersive Experiences
Chris Croft,Video Producer & Director,Video Production | Directing | Brand Content | Social Media | Sport & Music | Campaigns,Film & VFX | Creative Services
Thadeous Matthews,Technical Artist & Broadcast Operator,Unreal Engine | TouchDesigner | Broadcast | 3D Design | Motion Graphics | VR Staging,Realtime & Games | Virtual Production | Film & VFX | Creative Services | Design | Technical Art | Unreal Engine | Immersive Experiences
Dr David Tully,Unreal Engine / XR Specialist,Unreal Engine | XR | AI Avatars | Spatial Computing | Serious Games | VR Well-being,AI | Realtime & Games | Virtual Production | Creative Services | Product Development | Application Development | Training | Unreal Engine | Immersive Experiences
Cheryl Blake,Stop-Motion Animator & Community Musician,Stop-Motion | Animation | Community | Music & Percussion | Short Film | Social Impact,Animation | Creative Services | Film & VFX | Training
Dr Sean LCM Hill,"Robotics, XR, Bespoke Electronics, Audio",Robotics | Audio Electronics | VR / AR | Embedded Systems | CAD Design | Immersive Systems,Product Development | Realtime & Games | Application Development | Creative Services | Training | Music & Sound | Immersive Experiences
Dr Andy Bennett,"Partnerships, Funding & Development",Funding | Partnerships | Advisory | Innovation Strategy | Cross-sector Collaboration | Tech Integration,Training
Stephen Prince,"Web, SEO & Marketing Specialist",SEO | Digital Marketing | E-commerce | SEM | Lead Generation | Web Development,Application Development | Training | Creative Services
Will Lewis-Clarke,Delivery Manager & QA,Agile Delivery | QA | SAFe | Test Management | Project Delivery | QA Coaching,Application Development | Product Development | Training
Anthony Ashton,"Drones, Scanning & Edge Vision Systems",Drones | 3D Scanning | Edge Vision | Aerial Survey | LiDAR | Photogrammetry,Film & VFX | Data and Intelligence | Creative Services | Virtual Production
Lawrance Butterworth,Platform Install Specialist,Installation | Immersive Platforms | Engineering | Automotive Systems | Marine & Aviation | Power Integration,Product Development | Creative Services | Immersive Experiences
Dr Toby Duckworth,Embedded Systems Specialist,Embedded Systems | Low-level Algorithms | Interactive Media | Live Installations | HPC | Multilingual Engineering,Product Development | Application Development | Creative Services | Immersive Experiences
John Donlon,"Network, Cloud, Infra & Cyber",Networking | Cloud Infrastructure | Cybersecurity | Data Centre | Unified Comms | Managed Services,Application Development | Product Development
Magnus Kemp,Large-Scale Mixed Media Systems,Mixed Media | Visualisation | Experiential Events | AV Systems | Strategic Consultancy | New Media,Creative Services | Virtual Production | Product Development | Immersive Experiences
Kat Cook,Outdoor Design & Integration Specialist,Landscape Design | Ecology | Outdoor Tech | Horticultural Science | Environmental Art | Creative Technologies,Design | Creative Services | Product Development
Dr Jessica Symons,Emerging Technologies,Research | Metaverse | Social Impact | AI Policy | Emerging Tech | Multilingual AI,Data and Intelligence | AI | Training | Creative Services
Mandy Wang,Creative Project Management,Project Management | Production | Live Events | Digital Marketing | Video Production | Drone Shows,Creative Services | Film & VFX
Pip Rustage,Advertising Photographer & Creative Producer,Photography | SFX Stills | Creative Production | Studio Design | Brand Campaigns | Community,Creative Services | Design | Film & VFX
Simon Graham,Creative Technology & Immersive Experiences,Creative Tech | Real-time | XR | AI Workflows | AV Integration | Experiential Media,Creative Services | Realtime & Games | Virtual Production | AI | Workflows & Automation | Product Development | Film & VFX | Technical Art | ComfyUI | Immersive Experiences
Our Physical Labs,Global AI Development Network,AI Labs | HPC | Residential R&D | Deep Learning | ML Hardware | Co-creation Spaces,AI | Workflows & Automation | Training | Data and Intelligence
